Zona;CodProv;Year;Population;Populated Area (km2);PM10 population weighted average (ug/m3);PM2.5 population weighted average (ug/m3);PM2.5 premature deaths (ref = 0 ug/m3);PM2.5 premature deaths - lower CI (ref = 0 ug/m3);PM2.5 premature deaths - upper CI (ref = 0 ug/m3);PM2.5 premature deaths (ref = 2.5 ug/m3);PM2.5 years of life lost (ref = 0 ug/m3);PM2.5 years of life lost - lower CI (ref = 0 ug/m3);PM2.5 years of life lost - upper CI (ref = 0 ug/m3);PM2.5 years of life lost (ref = 2.5 ug/m3);NO2 population weighted average (ug/m3);NO2 premature deaths (ref = 20 ug/m3);NO2 premature deaths - lower CI (ref = 20 ug/m3);NO2 premature deaths - upper CI (ref = 20 ug/m3);NO2 premature deaths (ref = 10 ug/m3);NO2 years of life lost (ref = 20 ug/m3);NO2 years of life lost - lower CI (ref = 20 ug/m3);NO2 years of life lost - upper CI (ref = 20 ug/m3);NO2 years of life lost (ref = 10 ug/m3);O3/SOMO35 population weighted average (ug*days/m3);O3/SOMO35 premature deaths;O3/SOMO35 premature deaths - lower CI;O3/SOMO35 premature deaths - upper CI;O3/SOMO10 premature deaths;O3/SOMO35 years of life lost;O3/SOMO35 years of life lost - lower CI;O3/SOMO35 years of life lost - upper CI;O3/SOMO10 years of life lost
A Coruña;15;2014;1074694;3377;18,3;9,3;477;314;626;352;5529;3641;7261;4079;10;0;0;0;68;0;0;0;789;2919,6;20;10;30;0;245;119;363;0
A Coruña;15;2015;1073247;3377;18,9;8,9;486;320;638;351;5247;3455;6891;3796;5,9;0;0;0;43;0;0;1;462;1885,5;14;7;21;0;158;76;233;0
A Coruña;15;2016;1073029;3377;17,9;9,5;503;331;660;373;5649;3722;7415;4191;10,2;4;2;6;129;46;26;66;1453;2665,6;19;9;29;0;225;109;332;0
A Coruña;15;2017;1075060;3377;19,5;10,7;582;384;763;449;6280;4145;8231;4841;10,9;16;9;22;166;169;97;242;1789;2415;18;9;27;0;202;98;299;0
A Coruña;15;2018;1078074;3377;20;9,5;523;345;687;388;5656;3727;7423;4192;11;10;5;14;148;103;59;147;1602;3478,3;26;13;39;0;294;142;435;0
A Coruña;15;2019;1084511;3377;18,7;9,1;505;332;663;368;5454;3592;7163;3979;11,2;1;0;1;135;8;5;12;1463;2869,4;22;11;32;139;244;118;361;1561
Albacete;2;2014;405044;468;17,6;9,5;183;120;240;135;2117;1394;2780;1570;15,2;0;0;0;94;0;0;0;1089;6758,4;18;9;26;0;214;103;316;0
Albacete;2;2015;404498;468;21,3;13,5;276;182;361;227;2978;1970;3896;2446;6,5;0;0;0;0;0;0;0;0;7715,9;22;10;32;0;243;117;359;0
Albacete;2;2016;404416;468;19,5;10,4;207;137;272;158;2327;1534;3054;1781;15,2;10;5;14;100;108;62;154;1121;6193,6;17;8;25;0;196;95;291;0
Albacete;2;2017;405182;468;21,4;11,5;237;156;310;187;2555;1686;3349;2015;16,9;16;9;23;131;174;100;249;1417;7315,5;21;10;30;0;230;111;341;0
Albacete;2;2018;406317;468;19,8;9,3;194;128;254;143;2093;1378;2749;1541;14,7;6;4;9;96;66;38;95;1039;7250,7;21;10;30;0;230;111;341;0
Albacete;2;2019;408744;468;20,6;9,4;197;130;259;145;2128;1401;2794;1573;14;5;3;7;85;53;30;76;922;7025,5;20;10;30;68;224;109;332;757
Alicante/Alacant;3;2014;1812618;1884;18,9;10,5;904;596;1186;695;10480;6908;13749;8051;15,7;0;0;0;450;0;0;0;5218;6906,4;81;39;120;0;977;473;1446;0
Alicante/Alacant;3;2015;1810178;1884;19,3;11,6;1067;704;1398;844;11520;7603;15098;9113;4,1;0;0;0;24;1;0;1;254;7310,9;92;44;136;0;1029;498;1522;0
Alicante/Alacant;3;2016;1809810;1884;17,5;9,5;847;557;1112;628;9512;6264;12492;7053;15,4;40;23;57;461;448;257;641;5178;6262,6;76;37;113;0;888;430;1315;0
Alicante/Alacant;3;2017;1813236;1884;18,3;10;928;611;1218;702;10013;6598;13143;7576;16,9;79;45;112;587;849;487;1213;6333;7184,9;91;44;134;0;1012;490;1498;0
