ANO;CPROV;CIE10;Provincia;SumaTotal;value_f;value_m
2014;1;C33-C34;Araba/Álava;146;25;121
2015;1;C33-C34;Araba/Álava;157;42;115
2016;1;C33-C34;Araba/Álava;150;29;121
2017;1;C33-C34;Araba/Álava;191;53;138
2018;1;C33-C34;Araba/Álava;148;32;116
2019;1;C33-C34;Araba/Álava;169;42;127
2014;2;C33-C34;Albacete;168;18;150
2015;2;C33-C34;Albacete;149;23;126
2016;2;C33-C34;Albacete;182;28;154
2017;2;C33-C34;Albacete;170;26;144
2018;2;C33-C34;Albacete;154;25;129
2019;2;C33-C34;Albacete;165;22;143
2014;3;C33-C34;Alicante/Alacant;826;209;617
2015;3;C33-C34;Alicante/Alacant;796;168;628
2016;3;C33-C34;Alicante/Alacant;855;195;660
2017;3;C33-C34;Alicante/Alacant;861;195;666
2018;3;C33-C34;Alicante/Alacant;866;216;650
2019;3;C33-C34;Alicante/Alacant;811;216;595
2014;4;C33-C34;Almería;258;44;214
2015;4;C33-C34;Almería;263;40;223
2016;4;C33-C34;Almería;258;49;209
2017;4;C33-C34;Almería;263;55;208
2018;4;C33-C34;Almería;312;52;260
2019;4;C33-C34;Almería;296;51;245
2014;5;C33-C34;Ávila;97;20;77
2015;5;C33-C34;Ávila;75;8;67
2016;5;C33-C34;Ávila;82;15;67
2017;5;C33-C34;Ávila;85;14;71
2018;5;C33-C34;Ávila;92;18;74
2019;5;C33-C34;Ávila;90;19;71
2014;6;C33-C34;Badajoz;333;38;295
2015;6;C33-C34;Badajoz;381;48;333
2016;6;C33-C34;Badajoz;373;54;319
2017;6;C33-C34;Badajoz;397;70;327
2018;6;C33-C34;Badajoz;360;41;319
2019;6;C33-C34;Badajoz;373;65;308
2014;7;C33-C34;Balears, Illes;462;102;360
2015;7;C33-C34;Balears, Illes;401;103;298
2016;7;C33-C34;Balears, Illes;466;110;356
2017;7;C33-C34;Balears, Illes;530;134;396
2018;7;C33-C34;Balears, Illes;484;116;368
2019;7;C33-C34;Balears, Illes;474;131;343
2014;8;C33-C34;Barcelona;2539;491;2048
2015;8;C33-C34;Barcelona;2525;508;2017
2016;8;C33-C34;Barcelona;2592;552;2040
2017;8;C33-C34;Barcelona;2556;600;1956
2018;8;C33-C34;Barcelona;2564;578;1986
2019;8;C33-C34;Barcelona;2523;584;1939
2014;9;C33-C34;Burgos;156;37;119
2015;9;C33-C34;Burgos;173;41;132
2016;9;C33-C34;Burgos;168;35;133
2017;9;C33-C34;Burgos;181;42;139
2018;9;C33-C34;Burgos;164;38;126
2019;9;C33-C34;Burgos;162;34;128
2014;10;C33-C34;Cáceres;226;30;196
2015;10;C33-C34;Cáceres;263;26;237
2016;10;C33-C34;Cáceres;247;20;227
2017;10;C33-C34;Cáceres;240;22;218
2018;10;C33-C34;Cáceres;244;42;202
2019;10;C33-C34;Cáceres;257;42;215
2014;11;C33-C34;Cádiz;507;70;437
2015;11;C33-C34;Cádiz;531;80;451
2016;11;C33-C34;Cádiz;527;88;439
2017;11;C33-C34;Cádiz;556;106;450
2018;11;C33-C34;Cádiz;544;102;442
2019;11;C33-C34;Cádiz;528;89;439
2014;12;C33-C34;Castellón/Castelló;238;30;208
2015;12;C33-C34;Castellón/Castelló;243;40;203
2016;12;C33-C34;Castellón/Castelló;264;39;225
2017;12;C33-C34;Castellón/Castelló;272;55;217
2018;12;C33-C34;Castellón/Castelló;294;61;233
2019;12;C33-C34;Castellón/Castelló;302;73;229
2014;13;C33-C34;Ciudad Real;263;38;225
2015;13;C33-C34;Ciudad Real;275;41;234
2016;13;C33-C34;Ciudad Real;280;40;240
2017;13;C33-C34;Ciudad Real;253;49;204
2018;13;C33-C34;Ciudad Real;269;38;231
2019;13;C33-C34;Ciudad Real;244;37;207
2014;14;C33-C34;Córdoba;297;34;263
2015;14;C33-C34;Córdoba;331;52;279
2016;14;C33-C34;Córdoba;330;43;287
2017;14;C33-C34;Córdoba;354;74;280
2018;14;C33-C34;Córdoba;329;67;262
2019;14;C33-C34;Córdoba;323;56;267
2014;15;C33-C34;A Coruña;647;113;534
2015;15;C33-C34;A Coruña;618;125;493
2016;15;C33-C34;A Coruña;715;135;580
2017;15;C33-C34;A Coruña;630;138;492
2018;15;C33-C34;A Coruña;657;146;511
2019;15;C33-C34;A Coruña;636;132;504
2014;16;C33-C34;Cuenca;99;11;88
2015;16;C33-C34;Cuenca;113;15;98
2016;16;C33-C34;Cuenca;109;17;92
2017;16;C33-C34;Cuenca;104;17;87
2018;16;C33-C34;Cuenca;83;11;72
2019;16;C33-C34;Cuenca;91;15;76
2014;17;C33-C34;Girona;284;57;227
2015;17;C33-C34;Girona;331;65;266
2016;17;C33-C34;Girona;314;66;248
2017;17;C33-C34;Girona;292;68;224
2018;17;C33-C34;Girona;316;70;246
2019;17;C33-C34;Girona;339;74;265
2014;18;C33-C34;Granada;338;55;283
2015;18;C33-C34;Granada;331;55;276
2016;18;C33-C34;Granada;329;55;274
2017;18;C33-C34;Granada;347;58;289
2018;18;C33-C34;Granada;350;79;271
2019;18;C33-C34;Granada;396;83;313
2014;19;C33-C34;Guadalajara;98;24;74
2015;19;C33-C34;Guadalajara;102;23;79
2016;19;C33-C34;Guadalajara;108;28;80
2017;19;C33-C34;Guadalajara;123;24;99
2018;19;C33-C34;Guadalajara;90;21;69
2019;19;C33-C34;Guadalajara;100;21;79
2014;20;C33-C34;Gipuzkoa;360;94;266
2015;20;C33-C34;Gipuzkoa;373;110;263
2016;20;C33-C34;Gipuzkoa;349;74;275
2017;20;C33-C34;Gipuzkoa;360;82;278
2018;20;C33-C34;Gipuzkoa;387;98;289
2019;20;C33-C34;Gipuzkoa;349;94;255
2014;21;C33-C34;Huelva;249;38;211
2015;21;C33-C34;Huelva;236;38;198
2016;21;C33-C34;Huelva;225;40;185
2017;21;C33-C34;Huelva;255;35;220
2018;21;C33-C34;Huelva;231;34;197
2019;21;C33-C34;Huelva;263;51;212
2014;22;C33-C34;Huesca;102;27;75
2015;22;C33-C34;Huesca;107;25;82
2016;22;C33-C34;Huesca;105;20;85
2017;22;C33-C34;Huesca;98;16;82
2018;22;C33-C34;Huesca;99;21;78
2019;22;C33-C34;Huesca;117;29;88
2014;23;C33-C34;Jaén;234;34;200
2015;23;C33-C34;Jaén;280;45;235
2016;23;C33-C34;Jaén;231;34;197
2017;23;C33-C34;Jaén;235;26;209
2018;23;C33-C34;Jaén;269;41;228
2019;23;C33-C34;Jaén;229;38;191
2014;24;C33-C34;León;260;50;210
2015;24;C33-C34;León;255;49;206
2016;24;C33-C34;León;290;66;224
2017;24;C33-C34;León;282;52;230
2018;24;C33-C34;León;280;57;223
2019;24;C33-C34;León;326;73;253
2014;25;C33-C34;Lleida;151;37;114
